,matchId,teamAId,teamBId,kefsA,kefsB
2761,2325586,6343,4501,1.91,1.84
2762,2325566,9350,7024,7.25,1.07
2763,2325583,6298,7234,2.75,1.44
2764,2325593,9193,7367,1.38,2.96
2765,2325599,6693,6343,5.62,1.13
2766,2325505,8444,7367,2.43,1.54
2767,2325595,8846,7169,1.49,2.53
2768,2325592,9055,8305,3.08,1.35
2769,2325594,8772,9357,1.24,3.83
2770,2325596,4501,7898,1.63,2.29
2771,2325600,4501,6343,1.62,2.27
2772,2325602,8751,9226,1.26,3.69
2773,2325603,9213,9163,1.3,3.4
2774,2325458,4863,5257,1.07,7.94
2775,2325459,8262,8118,1.55,2.38
2776,2325462,4863,8262,1.11,7.62
2777,2325463,8118,5257,1.4,2.88
2778,2325636,6352,9354,1.2,3.93
2779,2325637,7348,5012,1.3,3.2
2780,2325638,7231,9167,2.11,1.7
2781,2325639,9353,8460,2.06,1.77
2782,2325640,9354,5012,2.99,1.33
2783,2325641,6352,7348,2.78,1.36
2784,2325536,9182,7367,1.46,2.68
2785,2325621,7820,7489,1.37,3.05
2786,2325627,8769,7169,1.71,2.12
2787,2325623,7820,7367,1.35,3.07
2788,2325633,9226,9163,1.59,2.32
2789,2325622,7898,9287,1.31,3.26
2790,2325604,8574,9225,1.11,6.41
2791,2325538,8825,8366,3.08,1.35
2792,2325460,7354,4865,1.21,4.84
2793,2325461,6503,8680,1.77,2.06
2794,2325654,7231,5012,1.35,3.0
2795,2325655,6352,8460,2.33,1.65
2796,2325465,7354,6503,1.39,2.93
2797,2325466,4865,8680,2.72,1.45
2798,2325656,9167,7348,1.83,1.97
2799,2325530,6010,8008,3.31,1.32
2800,2325467,7354,8680,1.56,2.4
2801,2325658,7348,8460,1.47,2.66
2802,2325643,7898,9182,1.3,3.4
2803,2325646,7367,8772,1.57,2.33
2804,2325660,7169,7865,2.37,1.55
2805,2325495,7820,9182,1.54,2.42
2806,2325644,7898,9055,1.2,4.27
2807,2325645,9193,9357,1.32,3.31
2808,2325647,8068,6343,1.51,2.5
2809,2325534,9055,7367,2.34,1.57
2810,2325500,7830,8728,1.52,2.53
